class,coverage,stride,accuracy,n_samples
ApplyEyeMakeup,10,1,0.9322033898305084,413
ApplyLipstick,10,1,0.9912280701754386,342
Archery,10,1,0.8208955223880597,402
BabyCrawling,10,1,0.8422459893048129,374
BalanceBeam,10,1,0.6398104265402843,211
BandMarching,10,1,0.7495652173913043,575
BaseballPitch,10,1,0.6406926406926406,231
Basketball,10,1,0.3127035830618892,307
BasketballDunk,10,1,0.9790209790209792,143
BenchPress,10,1,0.7302631578947368,304
Biking,10,1,0.7486238532110092,545
Billiards,10,1,0.9510939510939512,777
BlowDryHair,10,1,0.8051948051948052,539
BlowingCandles,10,1,0.9385474860335196,179
BodyWeightSquats,10,1,0.0331950207468879,241
Bowling,10,1,0.9647435897435898,312
BoxingPunchingBag,10,1,0.5960144927536232,552
BoxingSpeedBag,10,1,0.6736842105263158,570
BreastStroke,10,1,0.5899053627760252,317
BrushingTeeth,10,1,0.7976391231028668,593
CleanAndJerk,10,1,0.5842391304347826,368
CliffDiving,10,1,0.4035087719298245,171
CricketBowling,10,1,0.9264705882352942,204
CricketShot,10,1,0.7415254237288136,236
CuttingInKitchen,10,1,0.9907120743034056,323
Diving,10,1,0.8436123348017621,454
Drumming,10,1,0.755700325732899,921
Fencing,10,1,0.4956521739130435,230
FieldHockeyPenalty,10,1,0.9356223175965666,233
FloorGymnastics,10,1,0.6,310
FrisbeeCatch,10,1,0.52,175
FrontCrawl,10,1,0.962406015037594,399
GolfSwing,10,1,0.9404145077720208,386
Haircut,10,1,0.8089005235602095,382
HammerThrow,10,1,0.5955056179775281,445
Hammering,10,1,0.9666666666666668,300
HandstandPushups,10,1,0.7892561983471075,242
HandstandWalking,10,1,0.675,320
HeadMassage,10,1,0.8993576017130621,467
HighJump,10,1,0.3209302325581395,215
HorseRace,10,1,0.7130434782608696,575
HorseRiding,10,1,0.8504504504504504,555
HulaHoop,10,1,0.5257731958762887,194
IceDancing,10,1,0.5428176795580111,724
JavelinThrow,10,1,0.3370165745856354,181
JugglingBalls,10,1,0.5484460694698354,547
JumpRope,10,1,0.4317991631799163,1195
JumpingJack,10,1,0.0977443609022556,133
Kayaking,10,1,0.5649606299212598,508
