class,coverage,stride,accuracy,n_samples
ApplyEyeMakeup,10,1,0.890625,128
ApplyLipstick,10,1,0.911504,113
Archery,10,1,0.733333,105
BabyCrawling,10,1,0.901786,112
BalanceBeam,10,1,0.714286,63
BandMarching,10,1,0.661417,127
BaseballPitch,10,1,0.724138,58
Basketball,10,1,0.890625,64
BasketballDunk,10,1,0.969697,33
BenchPress,10,1,0.977528,89
Biking,10,1,0.809816,163
Billiards,10,1,0.978448,232
BlowDryHair,10,1,0.474747,99
BlowingCandles,10,1,0.897959,49
BodyWeightSquats,10,1,0.206349,63
Bowling,10,1,0.965909,88
BoxingPunchingBag,10,1,0.378531,177
BoxingSpeedBag,10,1,0.651007,149
BreastStroke,10,1,0.850575,87
BrushingTeeth,10,1,0.181818,198
CleanAndJerk,10,1,0.59633,109
CliffDiving,10,1,0.608696,46
CricketBowling,10,1,0.58209,67
CricketShot,10,1,0.521127,71
CuttingInKitchen,10,1,1.0,102
Diving,10,1,1.0,139
Drumming,10,1,0.886076,237
Fencing,10,1,0.888889,72
FieldHockeyPenalty,10,1,0.914286,70
FloorGymnastics,10,1,0.393258,89
FrisbeeCatch,10,1,0.583333,48
FrontCrawl,10,1,0.275591,127
GolfSwing,10,1,0.918182,110
Haircut,10,1,0.596774,62
HammerThrow,10,1,0.561644,146
Hammering,10,1,0.763636,55
HandstandPushups,10,1,0.777778,54
HandstandWalking,10,1,0.134831,89
HeadMassage,10,1,0.850575,174
HighJump,10,1,0.040541,74
HorseRace,10,1,0.813559,118
HorseRiding,10,1,0.907285,151
HulaHoop,10,1,0.859649,57
IceDancing,10,1,0.858537,205
JavelinThrow,10,1,0.518519,54
JugglingBalls,10,1,0.857923,183
JumpRope,10,1,0.737179,312
JumpingJack,10,1,0.512821,39
Kayaking,10,1,0.912281,114
Knitting,10,1,0.956522,138
LongJump,10,1,0.541667,72
Lunges,10,1,0.38125,160
MilitaryParade,10,1,1.0,62
Mixing,10,1,0.842105,95
MoppingFloor,10,1,0.313043,115
Nunchucks,10,1,0.360248,161
ParallelBars,10,1,0.804598,87
PizzaTossing,10,1,0.423729,59
PlayingCello,10,1,0.915033,153
PlayingDaf,10,1,0.97235,217
PlayingDhol,10,1,0.938567,293
PlayingFlute,10,1,0.909091,220
PlayingGuitar,10,1,0.966825,211
PlayingPiano,10,1,1.0,112
PlayingSitar,10,1,0.953846,260
PlayingTabla,10,1,0.993506,154
PlayingViolin,10,1,0.882979,94
PoleVault,10,1,0.556338,142
PommelHorse,10,1,0.843478,230
PullUps,10,1,0.769231,65
Punch,10,1,0.947368,171
PushUps,10,1,0.880952,42
Rafting,10,1,0.729167,96
RockClimbingIndoor,10,1,0.943284,335
RopeClimbing,10,1,0.737864,103
Rowing,10,1,0.931624,234
SalsaSpin,10,1,0.350575,174
ShavingBeard,10,1,0.646154,195
Shotput,10,1,0.338983,59
SkateBoarding,10,1,0.634146,82
Skiing,10,1,0.616766,167
Skijet,10,1,0.928571,140
SkyDiving,10,1,0.879518,83
SoccerJuggling,10,1,0.447826,230
SoccerPenalty,10,1,0.929825,57
StillRings,10,1,0.903614,83
SumoWrestling,10,1,0.833333,120
Surfing,10,1,0.903509,114
Swing,10,1,0.601562,128
TableTennisShot,10,1,1.0,100
TaiChi,10,1,0.821429,84
TennisSwing,10,1,0.867347,98
ThrowDiscus,10,1,0.684211,57
TrampolineJumping,10,1,0.877698,139
Typing,10,1,0.973154,149
UnevenBars,10,1,0.859375,64
VolleyballSpiking,10,1,0.923077,52
WalkingWithDog,10,1,0.635659,129
WallPushups,10,1,0.859649,57
WritingOnBoard,10,1,0.990476,105
YoYo,10,1,0.385321,109
ApplyEyeMakeup,25,1,0.914062,128
ApplyLipstick,25,1,0.938053,113
Archery,25,1,0.904762,105
BabyCrawling,25,1,0.946429,112
BalanceBeam,25,1,0.825397,63
BandMarching,25,1,0.700787,127
BaseballPitch,25,1,0.741379,58
Basketball,25,1,0.859375,64
BasketballDunk,25,1,0.969697,33
BenchPress,25,1,1.0,89
Biking,25,1,0.858896,163
Billiards,25,1,0.974138,232
BlowDryHair,25,1,0.656566,99
BlowingCandles,25,1,0.918367,49
BodyWeightSquats,25,1,0.365079,63
Bowling,25,1,0.965909,88
BoxingPunchingBag,25,1,0.502825,177
BoxingSpeedBag,25,1,0.671141,149
BreastStroke,25,1,0.896552,87
BrushingTeeth,25,1,0.282828,198
CleanAndJerk,25,1,0.715596,109
CliffDiving,25,1,0.695652,46
CricketBowling,25,1,0.477612,67
CricketShot,25,1,0.56338,71
CuttingInKitchen,25,1,1.0,102
Diving,25,1,1.0,139
Drumming,25,1,0.894515,237
Fencing,25,1,0.916667,72
FieldHockeyPenalty,25,1,0.914286,70
FloorGymnastics,25,1,0.505618,89
FrisbeeCatch,25,1,0.6875,48
FrontCrawl,25,1,0.204724,127
GolfSwing,25,1,0.936364,110
Haircut,25,1,0.629032,62
HammerThrow,25,1,0.575342,146
Hammering,25,1,0.745455,55
HandstandPushups,25,1,0.87037,54
HandstandWalking,25,1,0.303371,89
HeadMassage,25,1,0.896552,174
HighJump,25,1,0.067568,74
HorseRace,25,1,0.838983,118
HorseRiding,25,1,0.97351,151
HulaHoop,25,1,0.947368,57
IceDancing,25,1,0.912195,205
JavelinThrow,25,1,0.685185,54
JugglingBalls,25,1,0.934426,183
JumpRope,25,1,0.75641,312
JumpingJack,25,1,0.666667,39
Kayaking,25,1,0.947368,114
