Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.09019668316831686,-3.7722919667398926,0.00018713642568165626,***,-0.37628964553468675
10% vs 50%,-0.12294140594059422,-5.317757709048215,1.818953391348783e-07,***,-0.5304512961933933
10% vs 75%,-0.14261304950495057,-6.327592921053241,7.466362909056237e-10,***,-0.6311833013839176
10% vs 100%,-0.14261304950495057,-6.327592921053241,7.466362909056237e-10,***,-0.6311833013839176
25% vs 50%,-0.03274472277227736,-1.6023769917229773,0.10986392885394973,ns,-0.15983860092077334
25% vs 75%,-0.05241636633663371,-2.650547228368002,0.00836201580817526,ns,-0.26439456060912925
25% vs 100%,-0.05241636633663371,-2.650547228368002,0.00836201580817526,ns,-0.26439456060912925
50% vs 75%,-0.019671643564356356,-1.0457370718301002,0.2963143450428208,ns,-0.10431324922643832
50% vs 100%,-0.019671643564356356,-1.0457370718301002,0.2963143450428208,ns,-0.10431324922643832
75% vs 100%,0.0,0.0,1.0,ns,0.0
