Comparison,Mean Diff,t-statistic,p-value,Bonferroni Sig,Cohen's d
10% vs 25%,-0.2064193228932093,-4.677985232407089,5.3768325403121424e-06,***,-0.661567016025116
10% vs 50%,-0.3374686127856745,-8.48359659429015,9.182730574795841e-15,***,-1.1997617361347328
10% vs 75%,-0.2769765408884063,-6.7577463596484595,1.814639149001089e-10,***,-0.9556896552892262
10% vs 100%,-0.3771013192595396,-9.78196511083157,4.557021554791851e-18,***,-1.3833787726398439
25% vs 50%,-0.13104928989246523,-3.5861826418791876,0.0004287239434618444,***,-0.5071628129292524
25% vs 75%,-0.07055721799519699,-1.863940983244593,0.06384649820886691,ns,-0.2636010617967545
25% vs 100%,-0.1706819963663303,-4.8486700955112685,2.72335075310982e-06,***,-0.6857055008544884
50% vs 75%,0.06049207189726824,1.850855982910671,0.0656772338378694,ns,0.2617505633031656
50% vs 100%,-0.039632706473865076,-1.3402461254417146,0.1817042790382112,ns,-0.18953942475176655
75% vs 100%,-0.10012477837113332,-3.211525751496868,0.0015477165231979524,***,-0.45417832736773156
