class,coverage,stride,accuracy,n_samples
ApplyEyeMakeup,10,1,0.976562,128
ApplyLipstick,10,1,0.867257,113
Archery,10,1,0.695238,105
BabyCrawling,10,1,0.830357,112
BalanceBeam,10,1,0.587302,63
BandMarching,10,1,0.440945,127
BaseballPitch,10,1,0.775862,58
Basketball,10,1,0.6875,64
BasketballDunk,10,1,1.0,33
BenchPress,10,1,1.0,89
Biking,10,1,0.723926,163
Billiards,10,1,1.0,232
BlowDryHair,10,1,0.30303,99
BlowingCandles,10,1,1.0,49
BodyWeightSquats,10,1,0.142857,63
Bowling,10,1,0.965909,88
BoxingPunchingBag,10,1,0.508475,177
BoxingSpeedBag,10,1,0.409396,149
BreastStroke,10,1,0.793103,87
BrushingTeeth,10,1,0.217172,198
CleanAndJerk,10,1,0.697248,109
CliffDiving,10,1,0.695652,46
CricketBowling,10,1,0.597015,67
CricketShot,10,1,0.408451,71
CuttingInKitchen,10,1,0.990196,102
Diving,10,1,1.0,139
Drumming,10,1,0.957806,237
Fencing,10,1,0.930556,72
FieldHockeyPenalty,10,1,0.614286,70
FloorGymnastics,10,1,0.269663,89
FrisbeeCatch,10,1,0.291667,48
FrontCrawl,10,1,0.204724,127
GolfSwing,10,1,0.9,110
Haircut,10,1,0.612903,62
HammerThrow,10,1,0.534247,146
Hammering,10,1,0.672727,55
HandstandPushups,10,1,0.740741,54
HandstandWalking,10,1,0.303371,89
HeadMassage,10,1,0.764368,174
HighJump,10,1,0.040541,74
HorseRace,10,1,0.830508,118
HorseRiding,10,1,0.97351,151
HulaHoop,10,1,0.736842,57
IceDancing,10,1,0.814634,205
JavelinThrow,10,1,0.537037,54
JugglingBalls,10,1,0.584699,183
JumpRope,10,1,0.532051,312
JumpingJack,10,1,0.487179,39
Kayaking,10,1,0.824561,114
Knitting,10,1,0.934783,138
LongJump,10,1,0.527778,72
Lunges,10,1,0.05625,160
MilitaryParade,10,1,1.0,62
Mixing,10,1,0.884211,95
MoppingFloor,10,1,0.591304,115
Nunchucks,10,1,0.093168,161
ParallelBars,10,1,0.735632,87
PizzaTossing,10,1,0.288136,59
PlayingCello,10,1,0.934641,153
PlayingDaf,10,1,0.990783,217
PlayingDhol,10,1,0.901024,293
PlayingFlute,10,1,0.981818,220
PlayingGuitar,10,1,1.0,211
PlayingPiano,10,1,1.0,112
PlayingSitar,10,1,0.803846,260
PlayingTabla,10,1,0.967532,154
PlayingViolin,10,1,0.93617,94
PoleVault,10,1,0.521127,142
